skill,thumbnail_link,video_link,title,num_views,age,channel,snippet,duration,chapter,series
bi tool,https://i.ytimg.com/vi/X7eAwyMvm2c/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAS5wDMKufDU7o6XWNL4a_VqdOxFA,https://youtube.com/watch?v=X7eAwyMvm2c&pp=ygUlQ291cnNlIGJpIHRvb2wgYmkgdG9vbCBEYXRhIFNjaWVudGlzdA%3D%3D,I Tried 50 Data Analyst Courses. Here Are Top 5,477K views,5 months ago,Stefanovic,- How to actually learn Data Analysis? - Which are the best Data Analyst certifications? - How to become a Data Analyst?,8:41,6,"['Intro', 'Google Analytics Certificate', 'Microsoft Learning Paths', 'Data Camp', 'Tableau Certification', 'Harvard X Certification']"
bi tool,https://i.ytimg.com/vi/9R3X0JoCLyU/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBK-moGxUko8S_GH6Bmja0a-DK8lw,https://youtube.com/watch?v=9R3X0JoCLyU&pp=ygUlQ291cnNlIGJpIHRvb2wgYmkgdG9vbCBEYXRhIFNjaWVudGlzdA%3D%3D,The Complete Data Science Roadmap,317K views,8 months ago,Programming with Mosh,Go from zero to a data scientist in 12 months. This step-by-step roadmap covers the essential skills you must learn to become a ...,6:13,11,"['Introduction', 'Programming Languages', 'Version Control', 'Data Structures & Algorithms', 'SQL', 'Mathematics & Statistics', 'Data Handling and Visualization', 'Machine Learning', 'Deep Learning', 'Specialization', 'Big Data']"
bi tool,https://i.ytimg.com/vi/wjILmMxantI/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAuxXbp2ZCT2EUlc9Znhb9aewCLVg,https://youtube.com/watch?v=wjILmMxantI&pp=ygUlQ291cnNlIGJpIHRvb2wgYmkgdG9vbCBEYXRhIFNjaWVudGlzdA%3D%3D,The Difference Between Data Analytics & Business Intelligence | Google Career Certificates,62K views,1 year ago,Google Career Certificates,"With Business Intelligence ( BI ) and Data Analytics (DA) gaining so much popularity these days, they are often defined incorrectly, ...",8:53,,
bi tool,https://i.ytimg.com/vi/MkjlIzvfqdo/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBuH7ow06JOP-mDbxfv_oNdxuudbw,https://youtube.com/watch?v=MkjlIzvfqdo&pp=ygUlQ291cnNlIGJpIHRvb2wgYmkgdG9vbCBEYXRhIFNjaWVudGlzdA%3D%3D,"Understanding Business Intelligence, Data Analytics, and Business Analytics",46K views,1 year ago,Lights OnData,"Dive into understanding Business Intelligence , Data Analytics, and Business Analytics. Unravel the distinct roles they play in ...",4:47,6,"['Intro', 'Business Intelligence', 'Business Analytics', 'Data Analytics', 'Insight', 'Hindsight']"
bi tool,,https://youtube.com/shorts/n8uB-OPHadU,Is worth to learn Tableau or Power BI in 2024? #tableau #powerbi #data,101K views,1 year ago,BEPEC by Kanth,5-Step Career Transition Plan To Make a Successful Transition into Data Analytics Business Analytics Data Science ...,SHORTS,,
bi tool,https://i.ytimg.com/vi/hGfwT3AJh30/hq720.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGBsgLyh_MA8=&rs=AOn4CLBkH3lu0nSS3zc13Ebzph4TCbDYIw,https://youtube.com/shorts/hGfwT3AJh30,Tableau vs Power BI 🔥 Right Visualisation Tool for Career Growth | Epic Battle of Data Science 03,207K views,1 year ago,Analytics Vidhya,"For current job opportunities to future scope, from free access for learning to community support, which Data Visualisation tool , ...",SHORTS,,
bi tool,https://i.ytimg.com/vi/dcXqhMqhZUo/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBNL-3G2khag20yS6mWdOG3wLu4RQ,https://youtube.com/watch?v=dcXqhMqhZUo&pp=ygUlQ291cnNlIGJpIHRvb2wgYmkgdG9vbCBEYXRhIFNjaWVudGlzdA%3D%3D,Data Analytics vs Data Science,632K views,1 year ago,IBM Technology,"Are you interested in data science ? And have you heard of data analytics, but aren't sure how they're different? In this video ...",6:30,,
bi tool,https://i.ytimg.com/vi/UWqRAit03eY/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLB325nXyCQb802YEOeakO0NCMlkow,https://youtube.com/watch?v=UWqRAit03eY&pp=ygUlQ291cnNlIGJpIHRvb2wgYmkgdG9vbCBEYXRhIFNjaWVudGlzdA%3D%3D,Master Data Analytics with Power BI – Advanced Techniques _ Part 3,223 views,2 days ago,Go Online Trainings (Bhaskar Jogi),Ready to take your Data Analytics skills to the next level? Part 3 of our exclusive Power BI demo series is here to help you stand ...,1:10:05,,
bi tool,https://i.ytimg.com/vi/jdXAUqBdVXk/hq720_2.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGGUgSSg_MA8=&rs=AOn4CLBSFhtdQFsSPrD02HSJlwL0S1zcEA,https://youtube.com/shorts/jdXAUqBdVXk,What does a Data Scientist ACTUALLY Do?,171K views,1 year ago,Greg Hogg,,SHORTS,,
bi tool,https://i.ytimg.com/vi/zSgmrWQa03s/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDLKInMktJv46eF9j7XAOMBqMR0iA,https://youtube.com/watch?v=zSgmrWQa03s&t=98s&pp=ygUlQ291cnNlIGJpIHRvb2wgYmkgdG9vbCBEYXRhIFNjaWVudGlzdA%3D%3D,What is Business Intelligence Tool? What is Power BI?,37K views,2 years ago,codebasics,"In this video, I will discuss what exactly is a BI Tool . What exactly is purpose behind tools such as Power BI and Tableau? Do you ...",3:35,,['1:38 BI Tool']
