JOB_ID,COMPANY,POST_DATE,SALARY,LOCATION,CITY,STATE,STATE_LONG,ZIP,TITLE,MODIFY_TIMESTAMP
823218903377056,Caterpillar,2023-08-03,127500.0,Hybrid remote in Irving| TX,Hybrid remote in Irving,TX,Texas,75039,Cloud Security Engineer Flexible Work Location,2023-08-14 12:10:31.787
823218903613439,Innovative Refrigeration Systems,2023-08-03,86500.0,Waynesboro| VA 22980,Waynesboro,VA,Virginia,22980,Experienced Mechanical Design Engineer,2023-08-07 19:04:31.369
823218903518685,GS1 Consulting,2023-08-04,71500.0,Hybrid remote in Indianapolis| IN 46204,Hybrid remote in Indianapolis,IN,Indiana,46204,Quality Assurance Analyst 717040 8092023,2023-08-07 00:10:32.097
823218903424297,Purdue University,2023-08-04,47500.0,Hybrid remote in West Lafayette| IN 47906,Hybrid remote in West Lafayette,IN,Indiana,47906,Associate Academic IT Specialist,2023-08-13 20:04:31.463
823218904764729,Capgemini,2023-08-04,118000.0,Redmond| WA 98052| ,Redmond,WA,Washington,98052,Software Engineer Lead,2023-08-08 05:28:31.638
823218904069330,Merck Sharp & Dohme,2023-08-04,167500.0,Hybrid remote in Rahway| NJ 07065,Hybrid remote in Rahway,NJ,New Jersey,7065,Associate Principal Scientist Associate Director  Real World Oncology Methods  Strategy Hybrid,2023-08-25 09:31:31.956
823218904069755,CBRE,2023-08-04,89500.0,Burlingame| CA 94010,Burlingame,CA,California,94010,Sr Client Consulting Analyst,2023-08-08 20:04:31.309
823218904213690,VMware,2023-08-05,177500.0,Remote in San Francisco| CA,Remote in San Francisco,CA,California,94016,Senior Engineer  Opportunity for Working Remotely San Francisco CA,2023-08-14 04:04:31.631
823218903398132,VMware,2023-08-05,167500.0,Remote in Seattle| WA,Remote in Seattle,WA,Washington,98101,Senior Engineer  Opportunity for Working Remotely Seattle WA,2023-08-10 10:04:31.490
823218903279156,Hotel Adeline,2023-08-05,44500.0,Scottsdale| AZ 85250,Scottsdale,AZ,Arizona,85250,Engineer Supervisor,2023-09-06 22:10:31.812
823218903279156,Hotel Adeline,2023-08-05,44500.0,Scottsdale| AZ 85250,Scottsdale,AZ,Arizona,85250,Engineer Supervisor,2023-09-21 22:28:32.074
823218904171987,Deloitte,2023-08-05,114500.0,Charlotte| NC,Charlotte,NC,North Carolina,28201,Workday Integrations Developer,2023-08-10 01:34:31.487
823218909178492,Weaver Consultants Group Llc,2023-08-06,86500.0,Dublin| OH 43017,Dublin,OH,Ohio,43017,Project Scientist,2023-09-06 04:13:32.145
823218909178492,Weaver Consultants Group Llc,2023-08-06,86500.0,Dublin| OH 43017,Dublin,OH,Ohio,43017,Project Scientist,2023-09-21 21:28:31.455
823218909254260,empirical,2023-08-06,77500.0,Dakota City| NE 68776,Dakota City,NE,Nebraska,68776,Manufacturing Process Engineer,2023-09-07 22:25:32.354
823218860319595,Start.io,2023-01-10,92500.0,United States,United States,Unknown,Unknown,0,Back End Developer,2023-02-13 05:30:37.607
823218860456294,Compass Government Solutions| LLC,2023-01-10,94500.0,Fort Carson| CO,Fort Carson,CO,Colorado,80913,Research Scientist,2023-03-17 05:30:37.823
823218853750649,225 Qualcomm Technologies| Inc.,2023-01-15,185000.0,Austin| TX 78759| ,Austin,TX,Texas,78759,Dsp ArchitecturePerformance Modeling Engineer,2023-03-08 23:30:37.802
823218853746960,Computer World Services,2023-01-15,95650.0,Bethesda| MD,Bethesda,MD,Maryland,20810,Business Analyst  Level III,2023-01-17 17:30:39.996
823218854387770,LEER Group,2023-01-16,77200.0,Mishawaka| IN 46544,Mishawaka,IN,Indiana,46544,Manufacturing Engineer,2023-01-19 07:30:37.382
823218853728372,OMRON,2023-01-17,111500.0,Pleasanton| CA 94588,Pleasanton,CA,California,94588,Environmental Safety Engineer,2023-03-24 19:30:37.575
823218859212519,General Dynamics Mission Systems| Inc,2023-01-17,136600.0,Hybrid remote in Scottsdale| AZ 85257,Hybrid remote in Scottsdale,AZ,Arizona,85257,Network Management Systems Engineer,2023-03-02 13:30:37.579
823218854260873,The David and Lucile Packard Foundation,2023-01-19,70500.0,Los Altos| CA 94022,Los Altos,CA,California,94022,Facilities Engineer,2023-01-24 12:30:37.650
823218854699970,Insight Global,2023-01-19,112500.0,Irvine| CA 92618,Irvine,CA,California,92618,Manual QA Engineer,2023-01-24 10:13:00.300
823218854463994,Recruiting From Scratch,2023-01-19,140000.0,Clearwater| FL 33759,Clearwater,FL,Florida,33759,Senior Gameplay Engineer,2023-02-21 19:30:37.404
823218854589769,Kennametal| Inc.,2023-01-20,107500.0,Latrobe| PA,Latrobe,PA,Pennsylvania,15650,Sr Engineer  Engineering Technology,2023-02-18 15:30:37.540
823218854602222,Newport News Nuclear BWXT Los Alamos LLC,2023-01-20,89500.0,Los Alamos| NM 87544,Los Alamos,NM,New Mexico,87544,Systems Analyst 3,2023-02-07 14:30:37.625
823218854706208,K.D. Capital & Associates| LLC,2023-01-20,202500.0,Hybrid remote in Plano| TX 75023,Hybrid remote in Plano,TX,Texas,75023,IT Audit Director,2023-01-30 05:30:37.227
823218854996478,Vanguard,2023-01-20,74500.0,Dublin| CA,Dublin,CA,California,94568,Trade Management Oversight Analyst,2023-02-01 13:30:37.794
823218854735191,TechData Service Company| LLC,2023-01-20,127500.0,Princeton| NJ 08540,Princeton,NJ,New Jersey,8540,Scientific Systems Engineer  Direct Hire  BB 520011,2023-01-23 19:30:37.816
823218854782378,Deloitte,2023-01-20,137000.0,Atlanta| GA 30303| ,Atlanta,GA,Georgia,30303,Senior Java Developer,2023-01-23 02:30:37.578
823218854854612,Williams International,2023-01-20,80000.0,Pontiac| MI 48341,Pontiac,MI,Michigan,48341,Test Engineer,2023-02-10 16:30:37.748
823218854982854,Center for Employment Opportunities,2023-01-21,47250.0,Louisville| KY,Louisville,KY,Kentucky,40201,Job Developer,2023-02-20 11:30:37.682
823218855015807,ASML,2023-01-21,102500.0,San Jose| CA 95131| ,San Jose,CA,California,95131,Proto Engineer,2023-02-14 16:30:37.623
823218855168858,Oak Ridge National Laboratory,2023-01-22,95500.0,Oak Ridge| TN 37830,Oak Ridge,TN,Tennessee,37830,STS Electronics Engineer,2023-02-20 13:30:37.365
823218855191894,CyberCoders,2023-01-22,150000.0,Remote in Austin| TX 78703,Remote in Austin,TX,Texas,78703,DevOps Manager,2023-01-22 09:30:37.716
823218855396204,HASHROCKET,2023-01-23,112500.0,Chicago| IL,Chicago,IL,Illinois,60601,Software Developer,2023-02-01 07:30:37.549
823218855438778,Kudzu Staffing,2023-01-23,65000.0,Lancaster| SC,Lancaster,SC,South Carolina,29720,SAP  EDI Analyst,2023-01-25 18:31:03.407
823218855439225,A Pineywoods Home Health Care,2023-01-23,25880.0,Nacogdoches| TX,Nacogdoches,TX,Texas,75961,Scheduling Data Coordinator,2023-03-04 07:52:17.779
823218855812289,Logicalis,2023-01-24,152500.0,Remote,Remote,Unknown,Unknown,0,Cloud Services Architect,2023-01-25 02:30:37.625
823218855514664,ebm-papst Inc.,2023-01-24,67000.0,Telford| TN 37690,Telford,TN,Tennessee,37690,Industrial Engineer,2023-03-12 14:17:51.292
823218855594917,Evergreen Technologies| LLC.,2023-01-24,132500.0,Elizabeth| NJ,Elizabeth,NJ,New Jersey,0,Experienced Data Steward  EDS230003300,2023-02-06 17:30:37.166
823218856014178,Eastridge,2023-01-24,135200.0,Newark| CA 94560,Newark,CA,California,94560,HW Security PenTesting Engineer,2023-01-28 07:30:37.565
823218855689471,Syneos Health - USA,2023-01-24,127500.0,United States,United States,Unknown,Unknown,0,Sr Clinical Data Scientist NA Only,2023-01-25 09:30:37.378
823218856340112,Hemmersbach Nordamerika,2023-01-25,50500.0,West Stockbridge| MA,West Stockbridge,MA,Massachusetts,0,IT Field Technician,2023-02-07 08:28:02.312
823218856189358,Valley Tech Systems| Inc,2023-01-26,97500.0,Reno| NV 89502| ,Reno,NV,Nevada,89502,Test Engineer II Aerospace,2023-03-02 17:30:37.824
823218856207303,Popular Bank,2023-01-26,62500.0,Cupey| PR 00926,Cupey,Unknown,Unknown,926,Operations Analyst,2023-02-16 05:30:39.460
823218856298017,HCA Florida JFK Hospital,2023-01-26,40750.0,Atlantis| FL 33462,Atlantis,FL,Florida,33462,Clinical Data Analyst,2023-01-29 11:30:37.541
823218856259342,ADUSA Supply Chain,2023-01-26,62500.0,Hybrid remote in Salisbury| NC 28147,Hybrid remote in Salisbury,NC,North Carolina,28147,Analyst III Procurement Governance,2023-02-19 08:30:37.542
823218856372037,AMERICAN SYSTEMS,2023-01-26,115000.0,Tinker AFB| OK 73145,Tinker AFB,OK,Oklahoma,73145,NAVAIR Systems Engineer Journey  Ability to Obtain Secret Clearance,2023-02-15 18:30:37.650
823218856596832,Occidental Petroleum Corporation,2023-01-27,111500.0,Houston| TX,Houston,TX,Texas,77001,Expert IT Systems,2023-02-14 14:30:38.181
823218856722938,NATIONAL GRID CO USA (NE POWER),2023-01-27,78500.0,Syracuse| NY 13220,Syracuse,NY,New York,13220,Graduate Development Program Associate Engineer NY Telecommunications,2023-01-27 14:30:37.988
823218856790029,Southern Glazer’s Wine and Spirits,2023-01-27,108824.0,Miramar| FL 33027,Miramar,FL,Florida,33027,Analyst Business Intelligence,2023-02-17 14:30:37.672
823218856871484,Mastech Digital,2023-01-28,78000.0,Dallas| TX 75235| ,Dallas,TX,Texas,75235,System Engineer,2023-02-02 13:30:37.823
