skill,link,image_link,partner,title,rating,num_review,duration,price,description,difficulty_numeric,course_type,wilson_score
.net,https://www.udemy.com/course/javamasterclass/,https://img-c.udemycdn.com/course/240x135/6211415_d24a_2.jpg,"Denis Panjuta, Tutorials.eu by Denis Panjuta, Jafar TutorialsEU",60 Days of Java : The Complete Java Masterclass,4.6,526,58.0,89.99,"Master Java by building real-world projects. Learn JavaFX, Spring Boot, REST APIs, and more!",1.5,Course,0.8945566527120006
.net,https://www.udemy.com/course/java-se-programming/,https://img-c.udemycdn.com/course/240x135/2462140_b27f_2.jpg,Abdul Bari,Learn JAVA Programming - Beginner to Master,4.6,26143,61.5,109.99,Deep Dive in Core Java programming -Standard Edition. A Practical approach to learn Java. Become a Java Expert,1.5,Course,0.9167537301091178
.net,https://www.udemy.com/course/java-programming-tutorial-for-beginners/,https://img-c.udemycdn.com/course/240x135/1535678_0ce9_7.jpg,in28Minutes Official,Java Programming for Complete Beginners [2025],4.5,49448,59.0,119.99,Java Programming for Beginners to Java Object Oriented Programming. Core Java + Spring Boot. Java 8 to Java 24.,1.0,Course,0.8974074207662608
.net,https://www.udemy.com/course/java-the-complete-java-developer-course/,https://img-c.udemycdn.com/course/240x135/533682_c10c_4.jpg,"Tim Buchalka, Tim Buchalka's Learn Programming Academy, Edwin Einsen Vásquez Velásquez, Igor Popovic",Java Masterclass 2025: 130+ Hours of Expert Lessons,4.6,205616,135.5,139.99,"Gain real-world experience with OOP, coding exercises, and problem-solving for job-ready Java development skills",1.5,Course,0.9188558646288008
.net,https://www.udemy.com/course/java-programming-a-comprehensive-bootcamp-from-zero-to-hero/,https://img-c.udemycdn.com/course/240x135/5196034_e1f9_2.jpg,"Eazy Bytes, Madan Reddy",Java Programming: A Comprehensive Bootcamp from Zero to Hero,4.6,1855,66.5,79.99,"Become a Java developer - Core Java, Functional Programming, Lambdas, Streams, Collections, Covers upto Java 23",1.0,Course,0.9072000884980951
.net,https://www.udemy.com/course/master-practical-java-development/,https://img-c.udemycdn.com/course/240x135/827692_91ad_5.jpg,Job Ready Programmer,The Complete Java Certification Course,4.5,29679,17.5,159.99,Become a confident industry ready core Java developer and get certified as a Java professional!,3.0,Certificate,0.8966425501530446
.net,https://www.udemy.com/course/the-complete-java-development-bootcamp/,https://img-c.udemycdn.com/course/240x135/3740582_cc2c_9.jpg,"Rayan Slim, Jad Slim, Amer Abdulkader, Jose Portilla, Pierian Training, Sarmad Tanveer",Java Bootcamp: Learn Java with 100+ Java Projects,4.6,9216,29.5,109.99,"Master Core Java: OOP, Collections, Lambda, Streams, Threads & Real-World Projects",1.5,Course,0.9144647345518753
.net,https://www.udemy.com/course/ocp11_from_oca8/,https://img-c.udemycdn.com/course/240x135/4435956_8c4d_16.jpg,"Dr. Seán Kennedy OCA, OCP","Java 21, Java 17, Java 11, Java 8 (adv.) and Spring Boot 3",4.5,2330,32.0,69.99,"Master the latest topics; get Oracle OCP Certification (1Z0-830, 829, 819, 809) and code a Spring Boot application",3.0,Certificate,0.8875655807287265
.net,https://www.udemy.com/course/java-in-depth-become-a-complete-java-engineer/,https://img-c.udemycdn.com/course/240x135/358540_d06b_16.jpg,Dheeru Mundluru,Java In-Depth: Become a Complete Java Engineer!,4.6,23634,76.0,119.99,"Java programming bootcamp integrated with best practices, design rules and instructor-led Java EE project. Up to Java 21",1.5,Course,0.9165825735462503
.net,https://www.udemy.com/course/modern-java-learn-java-8-features-by-coding-it/,https://img-c.udemycdn.com/course/240x135/1692036_419c_2.jpg,Pragmatic Code School,Modern Java: Mastering Features from Java 8 to Java 21,4.5,12252,14.0,79.99,"Master Java 8 to Java 21: Functional Programming, Records, Sealed Classes, Pattern Matching, and more through hands-on.",1.5,Course,0.8947320122605351
