skill,link,image_link,partner,title,rating,num_review,duration,price,description,difficulty_numeric,course_type,wilson_score
.net,https://www.udemy.com/course/production-site-reliability-engineer/,https://img-c.udemycdn.com/course/240x135/3531340_3cd0_2.jpg,Nidhi Singh,Production Support - Site Reliability Engineer,4.5,2087,7.0,59.99,Job of SRE in DevOps,1.0,Course,0.8868238504349368
.net,https://www.udemy.com/course/sre-fundamentals-mastering-site-reliability-engineering/,https://img-c.udemycdn.com/course/240x135/5481794_d3c4_2.jpg,Douglas Mugnos,SRE Fundamentals: Mastering Site Reliability Engineering,4.4,2058,4.0,19.99,Empower Your Team: Embrace SRE Fundamentals for Unparalleled Reliability and Efficiency,1.5,Course,0.8657200998405015
.net,https://www.udemy.com/course/from-zero-to-site-reliability-engineer/,https://img-c.udemycdn.com/course/240x135/5901296_0671.jpg,Philip Afable,From Zero to Site Reliability Engineer,4.2,20,3.0,69.99,Learn About the SRE Workflow,2.0,Course,0.6355257603656242
.net,https://www.udemy.com/course/site-reliability-engineer-sre-150-unique-interview-questions/,https://img-c.udemycdn.com/course/240x135/5366082_0865.jpg,Mustafa Erdinç ZORBA,150 Unique Site Reliability Engineer SRE Interview Questions,4.2,28,7.0,69.99,Master SRE Concepts: Real-World Scenarios In-Depth Interview Preparation Guide with Answers and Explanations!,1.5,Course,0.6713367927476808
.net,https://www.udemy.com/course/site-reliability-engineering-on-aws/,https://img-c.udemycdn.com/course/240x135/3287718_5368_2.jpg,Packt Publishing,Site Reliability Engineering on AWS,4.1,224,4.5,54.99,Implement a reliable application architecture using the patterns and best practices recommended by AWS.,1.0,Course,0.7662752581028357
.net,https://www.udemy.com/course/mastering-asq-certified-reliability-engineer-exam/,https://img-c.udemycdn.com/course/240x135/5663722_5b5f_4.jpg,AERP Engineering,Mastering Certified Reliability Engineer Exam - Vol 1,4.2,12,7.0,19.99,This course has been meticulously designed to aid individuals preparing for the Certified Reliability Engineer exam.,3.0,Certificate,0.5683316786483823
.net,https://www.udemy.com/course/introduction-to-reliability-maintainability-availability/,https://img-c.udemycdn.com/course/240x135/4448412_a4b3_3.jpg,Christopher Olson,"Introduction to Reliability, Maintainability & Availability",4.6,742,7.0,69.99,A solid foundation for Project Managers & Systems Engineers,1.0,Course,0.8989801261840944
.net,https://www.udemy.com/course/reliability-engineering-statistics/,https://img-c.udemycdn.com/course/240x135/4308267_bdea.jpg,"Ray Harkins, The Manufacturing Academy, Michael J. Vella",Reliability Engineering Statistics (2025),4.4,633,9.0,84.99,"Master the Statistical Tools to Optimize Reliability, Minimize Failures, and Drive Performance in Engineering",1.5,Course,0.8532796184114537
.net,https://www.udemy.com/course/an-introduction-to-reliability-engineering/,https://img-c.udemycdn.com/course/240x135/2513962_7e40_4.jpg,"Ray Harkins, The Manufacturing Academy",An Introduction to Reliability Engineering,4.4,3367,5.0,84.99,A Study of Why Things Fail and How to Measure and Improve their Useful Life,1.5,Course,0.8689503781071248
.net,https://www.udemy.com/course/site-reliability-engineering-mastering-slo-and-error-budget/,https://img-c.udemycdn.com/course/240x135/5842894_7ad8.jpg,Junior Mayhé,Site Reliability Engineering: Mastering SLO and Error Budget,4.4,29,7.0,39.99,"SRE core concepts of Non-Functional Requirements, Reliability, Business Flows, SLI, SLO, Error Budget, and more.",1.0,Course,0.7219168732492038
.net,https://www.udemy.com/course/fundamentals-of-reliability-engineering/,https://img-c.udemycdn.com/course/240x135/4901284_2632_3.jpg,"Sandeep Kumar, ­ Quality Gurus Inc.",Fundamentals of Reliability Engineering (Accredited),4.2,391,2.5,74.99,Gain Insight into the Basics of Reliability Engineering for CRE or CMRP Certification - Get 2.5 PMI PDUs and SHRM PDCs,3.0,Certificate,0.8016872782267166
.net,https://www.udemy.com/course/maintenance-management-reliability-engineering-full-course/,https://img-c.udemycdn.com/course/240x135/5433122_e234_2.jpg,Engineering Training Academy,Maintenance Management & Reliability Crash Course,4.3,327,4.5,69.99,"Comprehensive Course covering all Fundamentals of Maintenance Management, Reliability Engineering and Asset Management",1.5,Course,0.8195982059725452
.net,https://www.udemy.com/course/asp-net-core-true-ultimate-guide-real-project/,https://img-c.udemycdn.com/course/240x135/4931546_c247.jpg,Web Academy by Harsha Vardhan,Asp.Net Core 9 (.NET 9)  | True Ultimate Guide,4.6,5436,87.0,84.99,ASP .NET Core | Asp.Net Core Projects | Bootcamp | Advanced | Interview Questions | Web API | MVC | SOLID Principles,1.5,Course,0.9127268139506526
.net,https://www.udemy.com/course/master-certified-maintenance-reliability-professional-cmrp/,https://img-c.udemycdn.com/course/240x135/6467193_0ba3.jpg,Kareem Ullah,Master Certified Maintenance & Reliability Professional CMRP,4.7,53,2.5,44.99,"CMRP Certification Bootcamp: Strategies for Maintenance & Reliability Success, CMRP Exam Prep, Best Practices and Tips.",3.0,Certificate,0.8457303567657252
.net,https://www.udemy.com/course/sre-site-reliability-engineering-quick-learninig-course/,https://img-c.udemycdn.com/course/240x135/4913734_aae5_2.jpg,GG トップ,SRE ( Site Reliability Engineering ) Quick Learning Course,3.4,24,2.0,44.99,Google's innovative methodology for DevOps,1.0,Course,0.48615640315330777
.net,https://www.udemy.com/course/google-cloud-certification-associate-cloud-engineer/,https://img-c.udemycdn.com/course/240x135/3827154_aecc_4.jpg,"in28Minutes Official, Ranga Karanam | GCP Certification - Google Cloud Engineer & Architect",GCP Associate Cloud Engineer - Google Cloud Certification,4.6,31693,18.0,109.99,GCP ACE - Google Cloud Associate Cloud Engineer certification. Begin your Google Cloud Platform - GCP journey!,3.0,Certificate,0.9170565199020239
.net,https://www.udemy.com/course/the-ai-engineer-course-complete-ai-engineer-bootcamp/,https://img-c.udemycdn.com/course/240x135/6112535_7103.jpg,365 Careers,The AI Engineer Course 2025: Complete AI Engineer Bootcamp,4.6,2803,24.5,89.99,"Complete AI Engineer Training: Python, NLP, Transformers, LLMs, LangChain, Hugging Face, APIs",1.5,Course,0.9097150440570702
.net,https://www.udemy.com/course/sre-the-big-picture/,https://img-c.udemycdn.com/course/240x135/3464946_9fdc_3.jpg,Anderson Carvalho,SRE - The Big Picture,4.3,6331,2.0,59.99,DevOps in practice! Amaze your customers balancing reliability and innovation,1.5,Course,0.8515089341091745
.net,https://www.udemy.com/course/google-cloud-gce-reliability-engineering-using-terraform/,https://img-c.udemycdn.com/course/240x135/5233012_cd1e_8.jpg,Jai Chenchlani,Google Cloud | GCE Reliability Engineering using Terraform,4.7,51,5.5,69.99,Running production grade apps on Google Cloud GCP GCE with Terraform and SRE Reliability Engineering principles.,1.0,Course,0.8432798998538489
.net,https://www.udemy.com/course/mastering-reliability-mindset-and-practices/,https://img-c.udemycdn.com/course/240x135/5541950_c18b_9.jpg,A Rezika,Mastering Reliability Mindset and Practices,4.8,3,5.0,34.99,Reliability and RCM explained as never before. Know how to apply Reliability comprehensively and incrementally,1.0,Course,0.4187986013727872
agile development,https://www.udemy.com/course/production-site-reliability-engineer/,https://img-c.udemycdn.com/course/240x135/3531340_3cd0_2.jpg,Nidhi Singh,Production Support - Site Reliability Engineer,4.5,2087,7.0,69.99,Job of SRE in DevOps,1.0,Course,0.8868238504349368
agile development,https://www.udemy.com/course/sre-fundamentals-mastering-site-reliability-engineering/,https://img-c.udemycdn.com/course/240x135/5481794_d3c4_2.jpg,Douglas Mugnos,SRE Fundamentals: Mastering Site Reliability Engineering,4.4,2058,4.0,19.99,Empower Your Team: Embrace SRE Fundamentals for Unparalleled Reliability and Efficiency,1.5,Course,0.8657200998405015
agile development,https://www.udemy.com/course/from-zero-to-site-reliability-engineer/,https://img-c.udemycdn.com/course/240x135/5901296_0671.jpg,Philip Afable,From Zero to Site Reliability Engineer,4.2,20,3.0,69.99,Learn About the SRE Workflow,2.0,Course,0.6355257603656242
agile development,https://www.udemy.com/course/site-reliability-engineer-sre-150-unique-interview-questions/,https://img-c.udemycdn.com/course/240x135/5366082_0865.jpg,Mustafa Erdinç ZORBA,150 Unique Site Reliability Engineer SRE Interview Questions,4.2,28,7.0,69.99,Master SRE Concepts: Real-World Scenarios In-Depth Interview Preparation Guide with Answers and Explanations!,1.5,Course,0.6713367927476808
agile development,https://www.udemy.com/course/site-reliability-engineering-on-aws/,https://img-c.udemycdn.com/course/240x135/3287718_5368_2.jpg,Packt Publishing,Site Reliability Engineering on AWS,4.1,224,4.5,69.99,Implement a reliable application architecture using the patterns and best practices recommended by AWS.,1.0,Course,0.7662752581028357
agile development,https://www.udemy.com/course/introduction-to-reliability-maintainability-availability/,https://img-c.udemycdn.com/course/240x135/4448412_a4b3_3.jpg,Christopher Olson,"Introduction to Reliability, Maintainability & Availability",4.6,742,7.0,69.99,A solid foundation for Project Managers & Systems Engineers,1.0,Course,0.8989801261840944
agile development,https://www.udemy.com/course/mastering-asq-certified-reliability-engineer-exam/,https://img-c.udemycdn.com/course/240x135/5663722_5b5f_4.jpg,AERP Engineering,Mastering Certified Reliability Engineer Exam - Vol 1,4.2,12,7.0,19.99,This course has been meticulously designed to aid individuals preparing for the Certified Reliability Engineer exam.,3.0,Certificate,0.5683316786483823
agile development,https://www.udemy.com/course/an-introduction-to-reliability-engineering/,https://img-c.udemycdn.com/course/240x135/2513962_7e40_4.jpg,"Ray Harkins, The Manufacturing Academy",An Introduction to Reliability Engineering,4.4,3367,5.0,69.99,A Study of Why Things Fail and How to Measure and Improve their Useful Life,1.5,Course,0.8689503781071248
agile development,https://www.udemy.com/course/reliability-engineering-statistics/,https://img-c.udemycdn.com/course/240x135/4308267_bdea.jpg,"Ray Harkins, The Manufacturing Academy, Michael J. Vella",Reliability Engineering Statistics (2025),4.4,633,9.0,69.99,"Master the Statistical Tools to Optimize Reliability, Minimize Failures, and Drive Performance in Engineering",1.5,Course,0.8532796184114537
